County,City,State,Postal.Code,Model.Year,Make,Model,Electric.Vehicle.Type,Electric.Range
Jefferson,Port Townsend,WA,98368,2023,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),38
King,Bellevue,WA,98006,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98007,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75
Clark,Vancouver,WA,98665,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),25
King,Seattle,WA,98103,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
Jefferson,Port Townsend,WA,98368,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98033,2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),26
Clark,Vancouver,WA,98682,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98178,2019,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),22
Kitsap,Bainbridge Island,WA,98110,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),18
Snohomish,Mukilteo,WA,98275,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
King,Newcastle,WA,98056,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),18
King,Bellevue,WA,98006,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98177,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98006,2023,LUCID,AIR,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98177,2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),26
King,Kent,WA,98031,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Kitsap,Bremerton,WA,98337,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98133,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98034,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Snohomish,Marysville,WA,98271,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),35
King,Tukwila,WA,98188,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21
King,Sammamish,WA,98075,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238
Clark,Camas,WA,98607,2023,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42
King,Seattle,WA,98177,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
King,Kirkland,WA,98033,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98033,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),0
Clark,Vancouver,WA,98682,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53
Snohomish,Monroe,WA,98272,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98133,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Clark,Vancouver,WA,98660,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),6
King,Seattle,WA,98101,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322
King,Redmond,WA,98052,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208
King,Kirkland,WA,98034,2024,RIVIAN,R1S,Battery Electric Vehicle (BEV),0
King,Renton,WA,98055,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Burien,WA,98166,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98033,2023,POLESTAR,PS2,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98004,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Kent,WA,98042,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98005,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Thurston,Olympia,WA,98502,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),20
King,Seattle,WA,98109,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Tukwila,WA,98188,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21
King,Bellevue,WA,98004,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),16
King,Seattle,WA,98177,2023,LUCID,AIR,Battery Electric Vehicle (BEV),0
King,Auburn,WA,98092,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98004,2024,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),0
King,Newcastle,WA,98059,2023,KIA,EV6,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98006,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
King,Kent,WA,98030,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107
Clark,Battle Ground,WA,98604,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53
King,Sammamish,WA,98075,2024,KIA,EV9,Battery Electric Vehicle (BEV),0
Snohomish,Lake Stevens,WA,98258,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Bothell,WA,98011,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98034,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
King,Kirkland,WA,98034,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291
King,Kirkland,WA,98034,2020,BMW,I3,Battery Electric Vehicle (BEV),153
King,Renton,WA,98059,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98125,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208
King,Seattle,WA,98177,2024,KIA,EV6,Battery Electric Vehicle (BEV),0
Snohomish,Everett,WA,98208,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Snohomish,Snohomish,WA,98296,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
Clark,Vancouver,WA,98662,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238
King,Normandy Park,WA,98166,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),0
Snohomish,Snohomish,WA,98296,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),208
King,Bellevue,WA,98005,2024,TESLA,MODEL X,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98033,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Snohomish,Lake Stevens,WA,98258,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Clark,Vancouver,WA,98660,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Clark,Vancouver,WA,98685,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),35
King,Kent,WA,98030,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259
King,Kirkland,WA,98033,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38
King,Redmond,WA,98052,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98112,2023,MERCEDES-BENZ,EQS-CLASS SUV,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98105,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98004,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98008,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Tukwila,WA,98188,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21
King,Federal Way,WA,98003,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Sammamish,WA,98075,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Renton,WA,98058,2024,KIA,EV9,Battery Electric Vehicle (BEV),0
Kitsap,Bainbridge Island,WA,98110,2024,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),0
Jefferson,Port Townsend,WA,98368,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259
King,Kirkland,WA,98033,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),18
King,Kirkland,WA,98034,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),210
Snohomish,Snohomish,WA,98290,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),0
Snohomish,Mukilteo,WA,98275,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Redmond,WA,98052,2023,FORD,F-150,Battery Electric Vehicle (BEV),0
King,Renton,WA,98058,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42
King,Renton,WA,98055,2023,KIA,EV6,Battery Electric Vehicle (BEV),0
Clark,Vancouver,WA,98685,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238
King,Kirkland,WA,98033,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),73
King,Seattle,WA,98178,2023,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),38
King,Kirkland,WA,98033,2024,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),0
Clark,Vancouver,WA,98664,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21
King,Newcastle,WA,98059,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98007,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32
King,Kirkland,WA,98034,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Tukwila,WA,98188,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),25
King,Bellevue,WA,98006,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98004,2024,DODGE,HORNET,Plug-in Hybrid Electric Vehicle (PHEV),32
Kitsap,Bainbridge Island,WA,98110,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),0
King,Sammamish,WA,98075,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151
King,Seattle,WA,98109,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
King,Kirkland,WA,98033,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98115,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Clark,Vancouver,WA,98662,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98125,2022,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98007,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Tukwila,WA,98188,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21
King,Kirkland,WA,98033,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),0
Snohomish,Monroe,WA,98272,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Newcastle,WA,98059,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),30
King,North Bend,WA,98045,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98008,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Redmond,WA,98052,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
King,Bellevue,WA,98005,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322
King,Bellevue,WA,98004,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98125,2023,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),0
Kitsap,Bremerton,WA,98310,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98107,2023,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98034,2022,RIVIAN,R1S,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98125,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
King,Kirkland,WA,98033,2022,POLESTAR,PS2,Battery Electric Vehicle (BEV),0
King,Sammamish,WA,98075,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Tukwila,WA,98188,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21
King,Bellevue,WA,98005,2023,MERCEDES-BENZ,EQE-CLASS SUV,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98033,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Clark,Vancouver,WA,98682,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98004,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Kitsap,Bremerton,WA,98311,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98005,2024,BMW,I4,Battery Electric Vehicle (BEV),0
King,Renton,WA,98056,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Snohomish,Arlington,WA,98223,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98006,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238
King,Redmond,WA,98052,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75
King,Kirkland,WA,98033,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),0
Snohomish,Lynnwood,WA,98087,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
King,Bellevue,WA,98008,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Maple Valley,WA,98038,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98125,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Tukwila,WA,98188,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21
Yakima,Selah,WA,98942,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),208
Thurston,Lacey,WA,98503,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98005,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75
King,Renton,WA,98059,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Tukwila,WA,98188,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21
King,Seattle,WA,98122,2022,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98033,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107
Clark,Vancouver,WA,98685,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98034,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21
King,Seattle,WA,98125,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38
King,Renton,WA,98056,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Federal Way,WA,98003,2014,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),6
King,Bellevue,WA,98004,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Bothell,WA,98011,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),33
King,Redmond,WA,98052,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98033,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98109,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
King,Renton,WA,98055,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98125,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Burien,WA,98146,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),0
Thurston,Olympia,WA,98506,2022,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),0
Clark,Vancouver,WA,98685,2016,FIAT,500,Battery Electric Vehicle (BEV),84
King,Seattle,WA,98146,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98133,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),0
Kitsap,Bainbridge Island,WA,98110,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
King,Sammamish,WA,98074,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98034,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98033,2023,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98008,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107
King,Seattle,WA,98122,2022,MINI,HARDTOP,Battery Electric Vehicle (BEV),0
King,Kenmore,WA,98028,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),208
King,Seattle,WA,98144,2024,KIA,EV6,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98034,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Clark,Vancouver,WA,98661,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98005,2024,BMW,IX,Battery Electric Vehicle (BEV),0
King,Tukwila,WA,98188,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21
King,Seattle,WA,98177,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150
King,Seattle,WA,98144,2021,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98034,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98033,2023,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98007,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98112,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),0
King,Redmond,WA,98052,2024,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV),37
King,Tukwila,WA,98188,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21
Clark,Battle Ground,WA,98604,2022,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25
King,Seattle,WA,98116,2013,FIAT,500,Battery Electric Vehicle (BEV),87
King,Tukwila,WA,98188,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21
Jefferson,Port Ludlow,WA,98365,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25
King,Seattle,WA,98109,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21
Kitsap,Bainbridge Island,WA,98110,2024,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),0
King,Tukwila,WA,98188,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21
King,Auburn,WA,98092,2024,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98004,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98034,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),0
Snohomish,Arlington,WA,98223,2024,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),33
Clark,La Center,WA,98629,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Clark,Camas,WA,98607,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Clark,Vancouver,WA,98685,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Shoreline,WA,98133,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98125,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),0
King,Shoreline,WA,98177,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98005,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),0
King,Redmond,WA,98052,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
King,Redmond,WA,98052,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21
King,Bothell,WA,98011,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Kent,WA,98030,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),0
King,Redmond,WA,98052,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
King,Bellevue,WA,98006,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Snohomish,Bothell,WA,98012,2023,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32
Thurston,Olympia,WA,98502,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),0
Yakima,Grandview,WA,98930,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Redmond,WA,98052,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Snohomish,Mill Creek,WA,98012,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Kitsap,Bremerton,WA,98312,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),210
King,Kirkland,WA,98033,2024,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV),37
